2023-01-31_13:48:05; file; 66; 0; basename; NOCOMPILE_GenericException.java
2023-01-31_13:48:05; file; 66; 0; size; 190
2023-01-31_13:48:05; file; 66; 0; abort; 1_0
2023-01-31_13:48:05; file; 67; 0; filename; sorald/target/test-classes/processor_test_files/S2142_InterruptedException/NOCOMPILE_RepairAndTryWithResourcePrint.java
2023-01-31_13:48:05; file; 67; 0; lines; 252
2023-01-31_13:48:06; file; 67; 1; basename; NOCOMPILE_RepairAndTryWithResourcePrint.java
2023-01-31_13:48:06; file; 67; 1; size; 11168
2023-01-31_13:48:06; file; 67; 1; abort; 1_0
2023-01-31_13:48:06; file; 68; 0; filename; sorald/target/test-classes/processor_test_files/S1068_UnusedPrivateField/JointDeclarationsOfMultipleFields.java
2023-01-31_13:48:06; file; 68; 0; lines; 11
2023-01-31_13:48:06; file; 68; 0; basename; JointDeclarationsOfMultipleFields.java
2023-01-31_13:48:06; file; 68; 0; size; 421
2023-01-31_13:48:06; file; 68; 0; abort; 1_0
2023-01-31_13:48:06; file; 69; 0; filename; sorald/target/test-classes/processor_test_files/S1068_UnusedPrivateField/PrivateFieldWrittenButNotRead.java
2023-01-31_13:48:06; file; 69; 0; lines; 20
2023-01-31_13:48:06; file; 69; 0; basename; PrivateFieldWrittenButNotRead.java
2023-01-31_13:48:06; file; 69; 0; size; 386
2023-01-31_13:48:06; file; 69; 0; abort; 1_0
2023-01-31_13:48:06; file; 70; 0; filename; sorald/target/test-classes/processor_test_files/S1068_UnusedPrivateField/JointDeclarationOfTwoFields.java
2023-01-31_13:48:06; file; 70; 0; lines; 9
2023-01-31_13:48:06; file; 70; 0; basename; JointDeclarationOfTwoFields.java
2023-01-31_13:48:06; file; 70; 0; size; 350
2023-01-31_13:48:06; file; 70; 0; abort; 1_0
2023-01-31_13:48:06; file; 71; 0; filename; sorald/target/test-classes/processor_test_files/S1068_UnusedPrivateField/UnusedPrivateField.java
2023-01-31_13:48:06; file; 71; 0; lines; 9
2023-01-31_13:48:06; file; 71; 0; basename; UnusedPrivateField.java
2023-01-31_13:48:06; file; 71; 0; size; 385
2023-01-31_13:48:06; file; 71; 0; abort; 1_0
2023-01-31_13:48:06; file; 72; 0; filename; sorald/target/test-classes/processor_test_files/S1132_StringLiteralInsideEquals/StringLiteralInsideEqualsSimpleCaseWithEquals.java
2023-01-31_13:48:06; file; 72; 0; lines; 11
2023-01-31_13:48:06; file; 72; 0; basename; StringLiteralInsideEqualsSimpleCaseWithEquals.java
