2023-02-02_15:57:13; file; 60; 0; lines; 85
2023-02-02_15:57:13; file; 60; 0; basename; ZonedDateTimeTypeHandlerTest.java
2023-02-02_15:57:13; file; 60; 0; size; 2862
2023-02-02_15:57:13; file; 60; 0; abort; 1_0
2023-02-02_15:57:13; file; 61; 0; filename; src/test/java/org/apache/ibatis/type/OffsetTimeTypeHandlerTest.java
2023-02-02_15:57:13; file; 61; 0; lines; 85
2023-02-02_15:57:14; file; 61; 1; basename; OffsetTimeTypeHandlerTest.java
2023-02-02_15:57:14; file; 61; 1; size; 2790
2023-02-02_15:57:14; file; 61; 1; abort; 1_0
2023-02-02_15:57:14; file; 62; 0; filename; src/test/java/org/apache/ibatis/type/ClobReaderTypeHandlerTest.java
2023-02-02_15:57:14; file; 62; 0; lines; 175
2023-02-02_15:57:14; file; 62; 0; basename; ClobReaderTypeHandlerTest.java
2023-02-02_15:57:14; file; 62; 0; size; 5468
2023-02-02_15:57:14; file; 62; 0; abort; 1_0
2023-02-02_15:57:14; file; 63; 0; filename; src/test/java/org/apache/ibatis/type/BlobTypeHandlerTest.java
2023-02-02_15:57:14; file; 63; 0; lines; 92
2023-02-02_15:57:14; file; 63; 0; basename; BlobTypeHandlerTest.java
2023-02-02_15:57:14; file; 63; 0; size; 3012
2023-02-02_15:57:14; file; 63; 0; abort; 1_0
2023-02-02_15:57:14; file; 64; 0; filename; src/test/java/org/apache/ibatis/type/SqlTimeTypeHandlerTest.java
2023-02-02_15:57:14; file; 64; 0; lines; 78
2023-02-02_15:57:14; file; 64; 0; basename; SqlTimeTypeHandlerTest.java
2023-02-02_15:57:14; file; 64; 0; size; 2402
2023-02-02_15:57:14; file; 64; 0; abort; 1_0
2023-02-02_15:57:14; file; 65; 0; filename; src/test/java/org/apache/ibatis/type/StringTypeHandlerTest.java
2023-02-02_15:57:14; file; 65; 0; lines; 75
2023-02-02_15:57:14; file; 65; 0; basename; StringTypeHandlerTest.java
2023-02-02_15:57:14; file; 65; 0; size; 2279
2023-02-02_15:57:14; file; 65; 0; abort; 1_0
2023-02-02_15:57:14; file; 66; 0; filename; src/test/java/org/apache/ibatis/type/BlobByteObjectArrayTypeHandlerTest.java
2023-02-02_15:57:14; file; 66; 0; lines; 104
2023-02-02_15:57:14; file; 66; 0; basename; BlobByteObjectArrayTypeHandlerTest.java
2023-02-02_15:57:14; file; 66; 0; size; 3792
2023-02-02_15:57:14; file; 66; 0; abort; 1_0
2023-02-02_15:57:14; file; 67; 0; filename; src/test/java/org/apache/ibatis/type/ShortTypeHandlerTest.java
2023-02-02_15:57:14; file; 67; 0; lines; 84
2023-02-02_15:57:14; file; 67; 0; basename; ShortTypeHandlerTest.java
2023-02-02_15:57:14; file; 67; 0; size; 2917
2023-02-02_15:57:14; file; 67; 0; abort; 1_0
2023-02-02_15:57:14; file; 68; 0; filename; src/test/java/org/apache/ibatis/type/NClobTypeHandlerTest.java
2023-02-02_15:57:14; file; 68; 0; lines; 92
2023-02-02_15:57:14; file; 68; 0; basename; NClobTypeHandlerTest.java
2023-02-02_15:57:14; file; 68; 0; size; 2894
2023-02-02_15:57:14; file; 68; 0; abort; 1_0
2023-02-02_15:57:14; file; 69; 0; filename; src/test/java/org/apache/ibatis/type/BigIntegerTypeHandlerTest.java
2023-02-02_15:57:14; file; 69; 0; lines; 88
2023-02-02_15:57:14; file; 69; 0; basename; BigIntegerTypeHandlerTest.java
2023-02-02_15:57:14; file; 69; 0; size; 3173
2023-02-02_15:57:14; file; 69; 0; abort; 1_0
2023-02-02_15:57:14; file; 70; 0; filename; src/test/java/org/apache/ibatis/type/LocalDateTypeHandlerTest.java
2023-02-02_15:57:14; file; 70; 0; lines; 84
2023-02-02_15:57:14; file; 70; 0; basename; LocalDateTypeHandlerTest.java
2023-02-02_15:57:14; file; 70; 0; size; 2768
2023-02-02_15:57:14; file; 70; 0; abort; 1_0
2023-02-02_15:57:14; file; 71; 0; filename; src/test/java/org/apache/ibatis/type/ByteObjectArrayTypeHandlerTest.java
2023-02-02_15:57:14; file; 71; 0; lines; 87
2023-02-02_15:57:14; file; 71; 0; basename; ByteObjectArrayTypeHandlerTest.java
2023-02-02_15:57:14; file; 71; 0; size; 2902
2023-02-02_15:57:14; file; 71; 0; abort; 1_0
2023-02-02_15:57:14; file; 72; 0; filename; src/test/java/org/apache/ibatis/cache/SerializedCacheTest.java
2023-02-02_15:57:14; file; 72; 0; lines; 100
2023-02-02_15:57:14; file; 72; 0; basename; SerializedCacheTest.java
2023-02-02_15:57:14; file; 72; 0; size; 2872
2023-02-02_15:57:14; file; 72; 0; abort; 1_0
2023-02-02_15:57:14; file; 73; 0; filename; src/test/java/org/apache/ibatis/cache/ScheduledCacheTest.java
2023-02-02_15:57:14; file; 73; 0; lines; 69
2023-02-02_15:57:14; file; 73; 0; basename; ScheduledCacheTest.java
2023-02-02_15:57:14; file; 73; 0; size; 2260
2023-02-02_15:57:14; file; 73; 0; abort; 1_0
2023-02-02_15:57:14; file; 74; 0; filename; src/test/java/org/apache/ibatis/cache/WeakCacheTest.java
2023-02-02_15:57:14; file; 74; 0; lines; 80
2023-02-02_15:57:14; file; 74; 0; basename; WeakCacheTest.java
2023-02-02_15:57:14; file; 74; 0; size; 2524
2023-02-02_15:57:14; file; 74; 0; abort; 1_0
2023-02-02_15:57:14; file; 75; 0; filename; src/test/java/org/apache/ibatis/cache/BaseCacheTest.java
2023-02-02_15:57:14; file; 75; 0; lines; 55
2023-02-02_15:57:14; file; 75; 0; basename; BaseCacheTest.java
2023-02-02_15:57:14; file; 75; 0; size; 2098
2023-02-02_15:57:14; file; 75; 0; abort; 1_0
2023-02-02_15:57:14; file; 76; 0; filename; src/test/java/org/apache/ibatis/cache/LruCacheTest.java
2023-02-02_15:57:14; file; 76; 0; lines; 61
2023-02-02_15:57:14; file; 76; 0; basename; LruCacheTest.java
2023-02-02_15:57:14; file; 76; 0; size; 1869
2023-02-02_15:57:14; file; 76; 0; abort; 1_0
